"","first_id","last_id","gender","rank","institution_id","city_id","region","sector","year"
"301",5827,22815,"F","associate professor",1,1,"Campania","Med",2015
"302",8208,22922,"M","associate professor",1,1,"Campania","Med",2015
"303",5288,23090,"M","associate professor",1,1,"Campania","Med",2015
"304",6709,23378,"F","assistant professor",1,1,"Campania","Med",2015
"305",8635,23640,"M","associate professor",1,1,"Campania","Med",2015
"306",2838,23821,"M","associate professor",1,1,"Campania","Med",2015
"307",777,24603,"M","associate professor",1,1,"Campania","Med",2015
"308",250,24728,"M","associate professor",1,1,"Campania","Med",2015
"309",7021,24928,"F","associate professor",1,1,"Campania","Med",2015
"310",6516,25953,"M","professor",1,1,"Campania","Med",2015
"311",1791,26149,"M","professor",1,1,"Campania","Med",2015
"312",3073,26543,"M","professor",1,1,"Campania","Med",2015
"313",3368,26945,"M","associate professor",1,1,"Campania","Med",2015
"314",5108,27001,"M","professor",1,1,"Campania","Med",2015
"315",1481,27735,"M","associate professor",1,1,"Campania","Med",2015
"316",1833,28889,"F","associate professor",1,1,"Campania","Med",2015
"317",7503,29392,"F","assistant professor",1,1,"Campania","Med",2015
"318",6070,30338,"M","associate professor",1,1,"Campania","Med",2015
"319",5857,30365,"F","assistant professor",1,1,"Campania","Med",2015
"320",7197,30798,"M","associate professor",1,1,"Campania","Med",2015
"321",2594,30833,"F","associate professor",1,1,"Campania","Med",2015
"322",250,31069,"M","associate professor",1,1,"Campania","Med",2015
"323",1481,31105,"M","associate professor",1,1,"Campania","Med",2015
"324",5907,31683,"M","associate professor",1,1,"Campania","Med",2015
"325",250,31881,"M","professor",1,1,"Campania","Med",2015
"326",7264,32303,"M","associate professor",1,1,"Campania","Med",2015
"327",2193,349,"F","assistant professor",1,1,"Campania","Agr",2015
"328",6285,6874,"M","assistant professor",1,1,"Campania","Agr",2015
"329",2533,9626,"F","associate professor",1,1,"Campania","Agr",2015
"330",5995,10853,"F","professor",1,1,"Campania","Agr",2015
"331",852,16824,"F","associate professor",1,1,"Campania","Agr",2015
"332",1481,18532,"M","associate professor",1,1,"Campania","Agr",2015
"333",6163,846,"M","professor",1,1,"Campania","Eng-Civ",2015
"334",3064,1309,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"335",7782,1920,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"336",8635,2459,"M","professor",1,1,"Campania","Eng-Civ",2015
"337",8520,2734,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"338",8734,4078,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"339",1658,5068,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"340",6285,5137,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"341",3910,5493,"M","professor",1,1,"Campania","Eng-Civ",2015
"342",8689,5875,"M","professor",1,1,"Campania","Eng-Civ",2015
"343",4773,6222,"M","professor",1,1,"Campania","Eng-Civ",2015
"344",231,8069,"F","associate professor",1,1,"Campania","Eng-Civ",2015
"345",7752,8889,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"346",3766,9636,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"347",8208,10082,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"348",3533,10133,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"349",2749,10261,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"350",7503,10948,"F","assistant professor",1,1,"Campania","Eng-Civ",2015
"351",3392,11013,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"352",1658,11702,"M","professor",1,1,"Campania","Eng-Civ",2015
"353",4405,12006,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"354",5054,12179,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"355",8006,12208,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"356",5403,12351,"F","associate professor",1,1,"Campania","Eng-Civ",2015
"357",7083,12512,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"358",2897,12982,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"359",7117,13217,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"360",7520,13982,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"361",837,17281,"F","assistant professor",1,1,"Campania","Eng-Civ",2015
"362",3314,18163,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"363",2596,18806,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"364",1136,19707,"F","associate professor",1,1,"Campania","Eng-Civ",2015
"365",7682,20473,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"366",8635,20980,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"367",878,21196,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"368",1278,21978,"M","professor",1,1,"Campania","Eng-Civ",2015
"369",5719,22247,"F","assistant professor",1,1,"Campania","Eng-Civ",2015
"370",1962,22761,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"371",5113,23288,"M","assistant professor",1,1,"Campania","Eng-Civ",2015
"372",8635,23646,"M","professor",1,1,"Campania","Eng-Civ",2015
"373",2698,24633,"M","professor",1,1,"Campania","Eng-Civ",2015
"374",7520,25200,"M","associate professor",1,1,"Campania","Eng-Civ",2015
"375",2831,25423,"F","associate professor",1,1,"Campania","Eng-Civ",2015
